iAZ(Z,m): Mass numbers for each Z
    8   80: minZ & maxZ
   61   17  154
   61   18  155
   62    1  135
   62    2  136
   62    3  137
   62    4  138
   62    5  139
   62    6  140
   62    7  141
   62    8  142
   62    9  143
   62   10  144
   62   11  145
   62   12  146
   62   13  147
   62   14  148
   62   15  149
   62   16  150
   62   17  151
   62   18  152
   62   19  153
   62   20  154
   62   21  155
   62   22  156
   63    1  139
   63    2  141
   63    3  142
   63    4  143
   63    5  144
   63    6  145
   63    7  146
   63    8  147
   63    9  148
   63   10  149
   63   11  150
   63   12  151
   63   13  152
   63   14  153
   63   15  154
   63   16  155
   63   17  156
   63   18  157
   63   19  159
   64    1  138
   64    2  139
   64    3  140
   64    4  141
   64    5  142
   64    6  143
   64    7  144
   64    8  145
   64    9  146
   64   10  147
   64   11  148
   64   12  149
   64   13  150
   64   14  151
   64   15  152
   64   16  153
   64   17  154
   64   18  155
   64   19  156
   64   20  157
   64   21  158
   64   22  159
   64   23  160
   64   24  161
   64   25  162
   65    1  142
   65    2  143
   65    3  144
   65    4  146
   65    5  147
   65    6  148
   65    7  149
   65    8  150
   65    9  151
   65   10  152
   65   11  153
   65   12  154
   65   13  155
   65   14  157
   65   15  158
   65   16  159
   65   17  160
   65   18  161
   65   19  163
   66    1  143
   66    2  146
   66    3  147
   66    4  148
   66    5  149
   66    6  150
   66    7  151
   66    8  152
   66    9  153
   66   10  154
   66   11  155
   66   12  156
   66   13  157
   66   14  158
   66   15  159
   66   16  160
   66   17  161
   66   18  162
   66   19  163
   66   20  164
   66   21  165
   66   22  166
   67    1  147
   67    2  148
   67    3  149
   67    4  151
   67    5  152
   67    6  153
   67    7  155
   67    8  157
   67    9  158
   67   10  159
   67   11  161
   67   12  162
   67   13  163
   67   14  164
   67   15  165
   67   16  166
   67   17  167
   67   18  169
   68    1  148
   68    2  150
   68    3  151
   68    4  152
   68    5  153
   68    6  154
   68    7  155
   68    8  156
   68    9  158
   68   10  159
   68   11  160
   68   12  161
   68   13  162
   68   14  163
   68   15  164
   68   16  165
   68   17  166
   68   18  167
   68   19  168
   68   20  169
   68   21  170
   68   22  171
   68   23  172
   69    1  151
   69    2  153
   69    3  159
   69    4  161
   69    5  162
   69    6  163
   69    7  164
   69    8  165
   69    9  166
   69   10  167
   69   11  168
   69   12  169
   69   13  170
   69   14  171
   69   15  173
   69   16  175
   70    1  154
   70    2  156
   70    3  157
   70    4  158
   70    5  159
   70    6  160
   70    7  161
   70    8  162
   70    9  163
   70   10  164
   70   11  165
   70   12  166
   70   13  167
   70   14  168
   70   15  169
   70   16  170
   70   17  171
   70   18  172
   70   19  173
   70   20  174
   70   21  175
   70   22  176
   70   23  177
   70   24  178
   71    1  157
   71    2  159
   71    3  160
   71    4  161
   71    5  163
   71    6  165
   71    7  166
   71    8  167
   71    9  168
   71   10  169
   71   11  170
   71   12  171
   71   13  172
   71   14  173
   71   15  174
   71   16  175
   71   17  176
   71   18  177
   71   19  178
   71   20  179
   72    1  157
   72    2  158
   72    3  160
   72    4  162
   72    5  163
   72    6  164
   72    7  165
   72    8  166
   72    9  167
   72   10  168
   72   11  169
   72   12  170
   72   13  171
   72   14  172
   72   15  173
   72   16  174
   72   17  175
   72   18  176
   72   19  177
   72   20  178
   72   21  179
   72   22  180
   72   23  181
   72   24  182
   73    1  163
   73    2  164
   73    3  165
   73    4  166
   73    5  167
   73    6  169
   73    7  170
   73    8  171
   73    9  172
   73   10  173
   73   11  174
   73   12  175
   73   13  176
   73   14  177
   73   15  178
   73   16  179
   73   17  180
   73   18  181
   73   19  182
   73   20  183
   73   21  185
   74    1  163
   74    2  166
   74    3  167
   74    4  168
   74    5  169
   74    6  170
   74    7  171
   74    8  172
   74    9  173
   74   10  174
   74   11  175
   74   12  176
   74   13  177
   74   14  178
   74   15  179
   74   16  180
   74   17  181
   74   18  182
   74   19  183
   74   20  184
   74   21  185
   74   22  186
   74   23  187
   74   24  188
   75    1  169
   75    2  171
   75    3  173
   75    4  174
   75    5  175
   75    6  176
   75    7  177
   75    8  178
   75    9  179
   75   10  181
   75   11  182
   75   12  183
   75   13  184
   75   14  185
   75   15  186
   75   16  187
   75   17  188
   75   18  189
   75   19  191
   76    1  167
   76    2  168
   76    3  170
   76    4  171
   76    5  172
   76    6  173
   76    7  174
   76    8  175
   76    9  176
   76   10  177
   76   11  178
   76   12  179
   76   13  180
   76   14  181
   76   15  182
   76   16  183
   76   17  184
   76   18  185
   76   19  186
   76   20  187
   76   21  188
   76   22  189
   76   23  190
   76   24  191
   76   25  192
   76   26  193
   77    1  169
   77    2  171
   77    3  173
   77    4  175
   77    5  176
   77    6  177
   77    7  179
   77    8  181
   77    9  182
   77   10  183
   77   11  184
   77   12  185
   77   13  186
   77   14  187
   77   15  188
   77   16  189
   77   17  190
   77   18  191
   77   19  192
   77   20  193
   77   21  194
   77   22  195
   77   23  197
   78    1  176
   78    2  177
   78    3  178
   78    4  179
   78    5  180
   78    6  181
   78    7  182
   78    8  183
   78    9  184
   78   10  185
   78   11  186
   78   12  187
   78   13  188
   78   14  189
   78   15  190
   78   16  191
   78   17  192
   78   18  193
   78   19  194
   78   20  195
   78   21  196
   78   22  197
   78   23  198
   78   24  199
   79    1  176
   79    2  177
   79    3  179
   79    4  181
   79    5  182
   79    6  183
   79    7  184
   79    8  185
   79    9  186
   79   10  187
   79   11  189
   79   12  191
   79   13  192
   79   14  193
   79   15  194
   79   16  195
   79   17  196
   79   18  197
   79   19  198
   79   20  199
   79   21  201
   80    1  178
   80    2  179
   80    3  180
   80    4  181
   80    5  182
   80    6  183
   80    7  184
   80    8  185
   80    9  186
   80   10  187
   80   11  188
   80   12  190
   80   13  191
   80   14  192
   80   15  193
   80   16  194
   80   17  195
   80   18  196
   80   19  197
   80   20  198
   80   21  199
   80   22  200
   80   23  201
   80   24  202
   80   25  203
   80   26  204
   80   27  205
