Index for nucleus (Z,A)
    8   80: minZ & maxZ
   65   21    0
   65   22  973
   66    1  974
   66    2    0
   66    3    0
   66    4  975
   66    5  976
   66    6  977
   66    7  978
   66    8  979
   66    9  980
   66   10  981
   66   11  982
   66   12  983
   66   13  984
   66   14  985
   66   15  986
   66   16  987
   66   17  988
   66   18  989
   66   19  990
   66   20  991
   66   21  992
   66   22  993
   66   23  994
   66   24  995
   67    1  996
   67    2  997
   67    3  998
   67    4    0
   67    5  999
   67    6 1000
   67    7 1001
   67    8    0
   67    9 1002
   67   10    0
   67   11 1003
   67   12 1004
   67   13 1005
   67   14    0
   67   15 1006
   67   16 1007
   67   17 1008
   67   18 1009
   67   19 1010
   67   20 1011
   67   21 1012
   67   22    0
   67   23 1013
   68    1 1014
   68    2    0
   68    3 1015
   68    4 1016
   68    5 1017
   68    6 1018
   68    7 1019
   68    8 1020
   68    9 1021
   68   10    0
   68   11 1022
   68   12 1023
   68   13 1024
   68   14 1025
   68   15 1026
   68   16 1027
   68   17 1028
   68   18 1029
   68   19 1030
   68   20 1031
   68   21 1032
   68   22 1033
   68   23 1034
   68   24 1035
   68   25 1036
   69    1 1037
   69    2    0
   69    3 1038
   69    4    0
   69    5    0
   69    6    0
   69    7    0
   69    8    0
   69    9 1039
   69   10    0
   69   11 1040
   69   12 1041
   69   13 1042
   69   14 1043
   69   15 1044
   69   16 1045
   69   17 1046
   69   18 1047
   69   19 1048
   69   20 1049
   69   21 1050
   69   22    0
   69   23 1051
   69   24    0
   69   25 1052
   70    1 1053
   70    2    0
   70    3 1054
   70    4 1055
   70    5 1056
   70    6 1057
   70    7 1058
   70    8 1059
   70    9 1060
   70   10 1061
   70   11 1062
   70   12 1063
   70   13 1064
   70   14 1065
   70   15 1066
   70   16 1067
   70   17 1068
   70   18 1069
   70   19 1070
   70   20 1071
   70   21 1072
   70   22 1073
   70   23 1074
   70   24 1075
   70   25 1076
   71    1 1077
   71    2    0
   71    3 1078
   71    4 1079
   71    5 1080
   71    6    0
   71    7 1081
   71    8    0
   71    9 1082
   71   10 1083
   71   11 1084
   71   12 1085
   71   13 1086
   71   14 1087
   71   15 1088
   71   16 1089
   71   17 1090
   71   18 1091
   71   19 1092
   71   20 1093
   71   21 1094
   71   22 1095
   71   23 1096
   72    1 1097
   72    2 1098
   72    3    0
   72    4 1099
   72    5    0
   72    6 1100
   72    7 1101
   72    8 1102
   72    9 1103
   72   10 1104
   72   11 1105
   72   12 1106
   72   13 1107
   72   14 1108
   72   15 1109
   72   16 1110
   72   17 1111
   72   18 1112
   72   19 1113
   72   20 1114
   72   21 1115
   72   22 1116
   72   23 1117
   72   24 1118
   72   25 1119
   72   26 1120
   73    1 1121
   73    2 1122
   73    3 1123
   73    4 1124
   73    5 1125
   73    6    0
   73    7 1126
   73    8 1127
   73    9 1128
   73   10 1129
   73   11 1130
   73   12 1131
   73   13 1132
   73   14 1133
   73   15 1134
   73   16 1135
   73   17 1136
   73   18 1137
   73   19 1138
   73   20 1139
   73   21 1140
   73   22    0
   73   23 1141
   74    1 1142
   74    2    0
   74    3    0
   74    4 1143
   74    5 1144
   74    6 1145
   74    7 1146
   74    8 1147
   74    9 1148
   74   10 1149
   74   11 1150
   74   12 1151
   74   13 1152
   74   14 1153
   74   15 1154
   74   16 1155
   74   17 1156
   74   18 1157
   74   19 1158
   74   20 1159
   74   21 1160
   74   22 1161
   74   23 1162
   74   24 1163
   74   25 1164
   74   26 1165
   75    1 1166
   75    2    0
   75    3 1167
   75    4    0
   75    5 1168
   75    6 1169
   75    7 1170
   75    8 1171
   75    9 1172
   75   10 1173
   75   11 1174
   75   12    0
   75   13 1175
   75   14 1176
   75   15 1177
   75   16 1178
   75   17 1179
   75   18 1180
   75   19 1181
   75   20 1182
   75   21 1183
   75   22    0
   75   23 1184
   76    1 1185
   76    2 1186
   76    3    0
   76    4 1187
   76    5 1188
   76    6 1189
   76    7 1190
   76    8 1191
   76    9 1192
   76   10 1193
   76   11 1194
   76   12 1195
   76   13 1196
   76   14 1197
   76   15 1198
   76   16 1199
   76   17 1200
   76   18 1201
   76   19 1202
   76   20 1203
   76   21 1204
   76   22 1205
   76   23 1206
   76   24 1207
   76   25 1208
   76   26 1209
   76   27 1210
   77    1 1211
   77    2    0
   77    3 1212
   77    4    0
   77    5 1213
   77    6    0
   77    7 1214
   77    8 1215
   77    9 1216
   77   10    0
   77   11 1217
   77   12    0
   77   13 1218
   77   14 1219
   77   15 1220
   77   16 1221
   77   17 1222
   77   18 1223
   77   19 1224
   77   20 1225
   77   21 1226
   77   22 1227
   77   23 1228
   77   24 1229
   77   25 1230
   77   26 1231
   77   27 1232
   77   28    0
   77   29 1233
   78    1 1234
   78    2 1235
   78    3 1236
   78    4 1237
   78    5 1238
   78    6 1239
   78    7 1240
   78    8 1241
   78    9 1242
   78   10 1243
   78   11 1244
   78   12 1245
   78   13 1246
   78   14 1247
   78   15 1248
   78   16 1249
   78   17 1250
   78   18 1251
   78   19 1252
   78   20 1253
   78   21 1254
   78   22 1255
   78   23 1256
   78   24 1257
   79    1 1258
   79    2 1259
   79    3    0
   79    4 1260
   79    5    0
   79    6 1261
   79    7 1262
   79    8 1263
   79    9 1264
   79   10 1265
   79   11 1266
   79   12 1267
   79   13    0
   79   14 1268
   79   15    0
   79   16 1269
   79   17 1270
   79   18 1271
   79   19 1272
   79   20 1273
   79   21 1274
   79   22 1275
   79   23 1276
   79   24 1277
   79   25    0
   79   26 1278
   80    1 1279
   80    2 1280
   80    3 1281
   80    4 1282
   80    5 1283
   80    6 1284
   80    7 1285
   80    8 1286
   80    9 1287
   80   10 1288
   80   11 1289
   80   12    0
   80   13 1290
   80   14 1291
   80   15 1292
   80   16 1293
   80   17 1294
   80   18 1295
   80   19 1296
   80   20 1297
   80   21 1298
   80   22 1299
   80   23 1300
   80   24 1301
   80   25 1302
   80   26 1303
   80   27 1304
   80   28 1305
