E(l,N) & nk(l,N) & t(N,l): 
     38174: Number of levels
       273  4.848300         2      3703   3.60E-12
       274  4.860000         4      3707   4.60E-14
       275  4.963600         1      3708   3.00E-15
       276  5.297600         5      3713   2.10E-14
       277  5.502000         1      3714   4.40E-14
       278  5.603380         3      3717   1.05E-17
       279  5.604860         5      3722   3.80E-19
       280  5.672570         7      3729   5.70E-19
       281  5.786000         2      3731   1.00E-14
       282  6.096400         7      3738   1.90E-18
       283  6.108000         4      3742   1.34E-17
       284  6.136470         5      3747   4.56E-19
       285  6.163200        10      3757   3.26E-20
       286  6.240400         8      3765   2.40E-18
       287  6.242000         8      3773   2.54E-18
       288  6.262000         1      3774   7.60E-19
       289  6.283200        12      3786   4.56E-20
       290  6.310500         9      3795   4.80E-19
       291  6.385500         5      3800   9.31E-19
       292  6.484900         9      3809   1.14E-18
       293  6.567000         3      3812   8.15E-19
       294  6.633000        41      3853   5.70E-21
       295  6.643701         8      3861   7.60E-19
       296  6.647000        43      3904   5.01E-21
       297  6.777000         3      3907   4.96E-20
       298  6.803101         5      3912   2.28E-19
       299  6.809000        46      3958   5.18E-21
       300  6.811000        47      4005   1.52E-19
       301  6.857000        48      4053   9.13E-20
       302  6.877400         2      4055   2.28E-19
       303  7.201000        50      4105   7.02E-20
       304  7.247000        51      4156   9.81E-21
       305  7.291000        52      4208   1.20E-20
       306  7.315001        53      4261   8.77E-21
       307  7.336000         6      4267   2.85E-20
       308  7.406000        55      4322   3.13E-20
       309  7.447001        56      4378   3.26E-21
       310  7.454000        57      4435   7.60E-20
       311  7.478000         1      4436   3.80E-20
       312  7.485000        59      4495   1.43E-20
       313  7.506001        60      4555   3.80E-20
       314  7.513000         4      4559   1.14E-19
       315  7.528000         4      4563   2.77E-20
       316  7.532001        63      4626   6.08E-21
       317  7.555000        64      4690   1.52E-20
       318  7.584001         4      4694   5.07E-20
       319  7.685000        66      4760   1.27E-20
       320  7.729001        67      4827   6.91E-21
       321  7.763000        68      4895   6.52E-21
       322  7.878000        69      4964   2.28E-20
       323  7.899000        70      5034   1.20E-20
       324  7.941000        71      5105   4.07E-21
       325  8.064000        72      5177   7.60E-21
       326  8.115001        73      5250   4.75E-21
       327  8.209001        74      5324   8.77E-21
       328  8.238000        75      5399   2.28E-20
       329  0.000000         0      5399  -1.00E+00
       330  0.109894         1      5400   5.91E-10
       331  0.197143         1      5401   8.93E-08
       332  1.345670         2      5403   2.86E-12
       333  1.458700         3      5406   6.20E-14
       334  1.554040         3      5409   3.50E-15
       335  2.779850         1      5410   1.94E-13
       336  3.908170         4      5414   6.00E-15
       337  3.998700         3      5417   1.30E-14
       338  4.032500         1      5418   4.60E-14
       339  4.377700         2      5420   7.60E-15
       340  4.549900         4      5424   3.50E-14
       341  4.556100         5      5429   1.20E-14
       342  4.648000         1      5430   2.60E-12
       343  4.682500         3      5433   1.07E-14
       344  5.106600         6      5439   2.10E-14
       345  5.337000         3      5442   7.00E-17
       346  5.418000         4      5446   1.75E-16
       347  5.463500         4      5450   1.80E-16
       348  5.500700         4      5454   1.14E-19
       349  5.535000         3      5457   0.00E+00
       350  5.621000         2      5459   9.00E-16
       351  5.938000         5      5464   0.00E+00
       352  6.070000         5      5469   3.80E-19
       353  6.088000         3      5472   1.14E-19
       354  6.100000        25      5497   0.00E+00
       355  6.160600         5      5502   1.23E-16
       356  6.255000        27      5529   5.70E-20
       357  6.282000         5      5534   1.90E-19
       358  6.330000         4      5538   1.90E-19
       359  6.429000        30      5568   1.63E-21
       360  6.496700         5      5573   0.00E+00
       361  6.500000         2      5575   1.90E-16
       362  6.527500         3      5578   1.14E-19
       363  6.554000         3      5581   2.85E-19
       364  6.592000         3      5584   6.00E-17
       365  6.787000         6      5590   6.61E-17
       366  6.838400         5      5595   3.80E-19
       367  6.891000         3      5598   1.63E-20
       368  6.926500         5      5603   1.90E-19
       369  6.989000        40      5643   8.95E-21
       370  7.114000        41      5684   1.43E-20
       371  7.166201         3      5687   6.61E-17
       372  7.262001        43      5730   7.60E-20
       373  7.364000        44      5774   0.00E+00
       374  7.539600         5      5779   2.85E-18
       375  7.560000        46      5825   5.07E-21
       376  7.587000        47      5872   0.00E+00
       377  7.660601         6      5878   2.07E-16
       378  7.702000        49      5927   1.52E-20
       379  7.740000        50      5977   7.60E-20
       380  7.900001        51      6028   2.28E-21
       381  7.929000         2      6030   0.00E+00
       382  7.937000         2      6032   0.00E+00
       383  8.014000        54      6086   0.00E+00
       384  8.084001        55      6141   1.52E-19
       385  8.137701         7      6148   1.52E-18
       386  8.160001        57      6205   9.13E-21
       387  8.199000        58      6263   5.70E-19
       388  8.254300         4      6267   3.04E-19
       389  8.288000         2      6269   4.56E-19
       390  8.310000         3      6272   9.71E-18
       391  8.370001         4      6276   6.08E-20
       392  8.583501        12      6288   9.12E-19
       393  8.591901        11      6299   2.28E-19
       394  8.629001         6      6305   4.56E-19
       395  8.650001         3      6308   1.52E-21
       396  0.000000         0      6308   1.11E+01
       397  0.656020         1      6309   3.05E-13
       398  0.822730         2      6311   5.50E-11
       399  0.983590         1      6312   1.36E-12
       400  1.056850         1      6313   5.10E-15
       401  1.309190         4      6317   1.30E-12
       402  1.823800         1      6318   4.50E-14
       403  1.843800         3      6321   4.60E-14
       404  1.970830         4      6325   4.20E-13
       405  2.043980         3      6328   2.70E-15
       406  2.194300         3      6331   2.90E-15
       407  2.864860         8      6339   2.00E-14
       408  2.966110         4      6343   3.60E-15
       409  2.968000         2      6345   0.00E+00
       410  3.171690         1      6346   0.00E+00
       411  3.488410         5      6351   8.10E-15
       412  3.526310         1      6352   3.80E-15
       413  3.586540         8      6360   7.60E-16
       414  3.589800         3      6363   0.00E+00
       415  3.669000        19      6382   0.00E+00
       416  3.680170         5      6387   1.54E-14
       417  3.761000        21      6408   0.00E+00
       418  3.965070         4      6412   4.80E-15
       419  4.082170         4      6416   2.50E-15
       420  4.199300        24      6440   0.00E+00
       421  4.208100        25      6465   0.00E+00
       422  4.277090         3      6468   5.00E-15
       423  4.312000        27      6495   3.50E-15
       424  4.371470         2      6497   3.00E-15
       425  4.509000         1      6498   0.00E+00
       426  4.518000        30      6528   0.00E+00
       427  4.584600        31      6559   0.00E+00
       428  4.591721         2      6561   0.00E+00
       429  4.722000        33      6594   0.00E+00
       430  4.731200        34      6628   0.00E+00
       431  4.744000        35      6663   0.00E+00
       432  4.764800        36      6699   0.00E+00
       433  4.892760         3      6702   0.00E+00
       434  4.899400        38      6740   0.00E+00
       435  5.041500        39      6779   0.00E+00
       436  5.066800        40      6819   0.00E+00
       437  5.130000        41      6860   0.00E+00
       438  5.226100        42      6902   9.70E-16
       439  5.255000        43      6945   0.00E+00
       440  5.282790         2      6947   2.30E-15
       441  5.319170         5      6952   3.40E-15
       442  5.346100        46      6998   0.00E+00
       443  5.352000        47      7045   0.00E+00
       444  5.407000        48      7093   0.00E+00
       445  5.452100        49      7142   0.00E+00
       446  5.457201        50      7192   0.00E+00
       447  5.465890         1      7193   0.00E+00
       448  5.555340         5      7198   4.20E-15
       449  5.574000        53      7251   0.00E+00
       450  5.588000        54      7305   0.00E+00
       451  5.623130         4      7309   0.00E+00
       452  5.645000        56      7365   0.00E+00
       453  5.661000        57      7422   0.00E+00
       454  5.710000        58      7480   0.00E+00
       455  5.725000        59      7539   0.00E+00
       456  5.764900        60      7599   0.00E+00
       457  5.795000        61      7660   0.00E+00
       458  5.810101        62      7722   0.00E+00
       459  5.936130        17      7739   1.40E-15
       460  5.939100         5      7744   0.00E+00
       461  5.951000        65      7809   0.00E+00
       462  6.007000        66      7875   0.00E+00
       463  6.017780        17      7892   2.30E-15
       464  6.044980         5      7897   0.00E+00
       465  6.065000        69      7966   0.00E+00
       466  6.079000        70      8036   0.00E+00
       467  6.095000        71      8107   0.00E+00
       468  6.111000        72      8179   0.00E+00
       469  6.136000        73      8252   0.00E+00
       470  6.154000        74      8326   0.00E+00
       471  6.189000        75      8401   0.00E+00
       472  6.213000        76      8477   0.00E+00
       473  6.251000        77      8554   0.00E+00
       474  6.287000        78      8632   0.00E+00
       475  6.299100        79      8711   0.00E+00
       476  6.335001        80      8791   0.00E+00
